Workgroup
Team Manager
AC3D2_AMZ_US_Gen
NACS LOA
Back Office
TryBeforeYouBuy
HBS_US_CA_HeavyBulky_Services_Phone_AC3
Caracara_UK_Phone_MU
AC3D2_AMZ_UK_Gen
PT Communities
HBS_US_EN_ProductSupport
Communities
DART_CC
DE EngTier2 NH (P/E)
Registries Phone MU
UK Communities
AC3D2_AMZ_US_DART
DE B2B ENG CPT (M/P/E)
US Account Change Retail Blend
UsHomeServices_Escalation
TryBeforeYouBuyMU_Email
D2AS_EN_Generalist_Blended
DE B2B (M/P/E)
AMZ_UK_HBS_P_M
Caracara_US_Phone
DE EngTier1 (C/P/E)
HMD_Sbr_Testin
AMZ_UK_PRIME_PM
SDS_UK_Recipient_Driver_F3_PCME_Falcon
AC3D2_AMZ_UK
FR Communities
AC3D2_AMZ_UK_DART
Customer Protection Review
AC3D2_AMZ_US_Doppler_DualAccess
Caracara_UK_Phone_MU_SENL
Account Management
SDS-UK-Flex-Phones
Support/Non-Production
DE DART D2
DE EngTier2 (C/P/E)
AC3D2_AMZ_US_Doppler
Retail Viking Phone MU
Caracara_UK_Phone
AC3D2_AMZ_US_DigiQ
KDP Tier 2B
Caracara_US_Price_Change_Phone
AMZ_UK_D2_Blended_P_MU_E_CAP
AMZ_UK_AC/CE_PM
Amazon Business Enterprise
Temp Holding Workgroup
Indie Test WG
SDS-NA-GSF3_Falcon
DART_CC_English_Supervisor
Goodreads Tier 1
DE D2 Group3 ENG (M/P/E)
KDP Tier 2A Email
DE_Apay_AC3_PE
DE Communities
KDP Support Tier 2 FR
DE D2 Group3 (M/P/E)
AC3D2_AMZ_US_DigiQ_DualAccess
DE_Amazon_Business_AC3
ES Communities
Amazon Author DE
KDP Temp Out
CPT_CAP_Kindle
AC3D2_AMZ_DE_G3_Eng
AbeBooks Tier 1 EN
Caracara_US_Phone_NH
KDP Support Tier 2 BR
KDP KEP
Eco_Retail_P2_TBR_Phone
Goodreads Risk Escalation
KDP Tier 1D
KDP Support Tier 1 BR
KDP TA
Goodreads Policy Specialists
AMZ_UK_CPT_D2_AT_P_C_E
AC3D2_AMZ_DE_G3
SDS_UK_Flex_Phones_Falcon
KDP Support Tier 2 DE
AbeBooks Seller Tier 2 DE
AC3D2_AMZ_DE_G2Eng
Back Office II
HBS_US_EN_CA_HeavyBulky_Services_Phone
KDP Support Tier 2 IT
Amazon Author FR
AbeBooks CT Buyer
IT Communities
Amazon Author BR
AbeBooks Seller Tier 2 IT
AMZ_UK_CPT_D2_T1_P_E_CAP
Caracara_US_CAM_Phone
DE DART CPT
AMZ_DE_APAY_PE
KDP Support Tier 2 ES
AbeBooks Seller Tier 2 ES
DE_AB_HelpDesk
KDP Support Tier 1 DE
Amazon Business Enterprise_PNQ10
AbeBooks Tier 1 FR
ZA_FnF_English_Phone_MU_Email
Amazon-Business-Generalist-Phone+CASE
Goodreads Policy Coordinators
KDP LOA
KDP Support Tier 2 NL
AbeBooks Tier 1 DE
Caracara_UK_MU
KDP Support Tier 1 ES
KDP Support Tier 1 FR
AbeBooks Tier 2 EN
AWS CS CN Core
AbeBooks LOA
Goodreads Quality Specialist
DE_ENGT2_AC3_MPE
AbeBooks Seller Tier 2 EN
CN Communities
